Date, NO_CONTRACTS_1, OI_1, NO_CONTRACTS_2, OI_2,volume_total,vol_per_change,OI_total,oi_per_change,nifty,change,per_change
1-Mar-2018,128141,22400400,5253,1187400,133394,0,23587800,0,10458.35,0,0
5-Mar-2018,163559,23099925,6079,1165200,169638,27.17063736,24265125,2.871505609,10358.85,-99.5,-0.951392906
6-Mar-2018,186130,24275625,9065,1277850,195195,15.0656103,25553475,5.309471927,10249.25,-109.6,-1.058032504
7-Mar-2018,198900,23770650,16994,1795200,215894,10.60426753,25565850,0.048427856,10154.2,-95.05,-0.927384931
8-Mar-2018,184511,23031300,11568,2074125,196079,-9.178115186,25105425,-1.800937579,10242.65,88.45,0.871068129
9-Mar-2018,149319,22840650,7964,2167725,157283,-19.78590262,25008375,-0.386569835,10226.85,-15.8,-0.154256955
12-Mar-2018,187584,22590825,10204,2318175,197788,25.75294215,24909000,-0.397366882,10421.4,194.55,1.902345297
13-Mar-2018,193274,22150950,13907,2472225,207181,4.749024208,24623175,-1.147476816,10426.85,5.45,0.052296237
14-Mar-2018,150514,22222800,11415,2752125,161929,-21.8417712,24974925,1.428532267,10410.9,-15.95,-0.152970456
15-Mar-2018,111358,22895400,8049,2953275,119407,-26.25965701,25848675,3.498509005,10360.15,-50.75,-0.487469863
16-Mar-2018,212317,23782575,16426,3096525,228743,91.57,26879100,3.99,10195.15,-165.0
19-Mar-2018,189024,23031750,19528,3413925,208552,74.66,26445675,2.31,10094.25,-100.9
20-Mar-2018,169571,23111400,15086,3761400,184657,54.65,26872800,3.96,10124.35,30.1
20-Mar-2018,169571,23111400,15086,3761400,184657,54.65,26872800,3.96,10124.35,30.1
21-Mar-2018,173630,22930500,23381,4135950,197011,64.99,27066450,4.71,10155.25,30.9
22-Mar-2018,167097,22854525,21665,4701750,188762,58.08,27556275,6.61,10114.75,-40.5
